image_path,species,instar,days_post_hatching
frugiperda/1/0/ct_d0_001.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_002.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_003.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_004.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_005.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_006.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_007.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_008.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_009.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_010.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_011.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_012.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_013.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_014.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_015.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_016.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_017.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_018.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_019.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_020.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_021.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_022.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_023.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_024.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_025.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_026.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_027.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_028.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_029.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_030.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_031.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_032.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_033.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_034.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_035.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_036.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_037.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_038.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_039.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_040.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_041.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_042.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_043.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_044.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_045.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_046.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_047.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_048.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_049.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_050.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_051.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_052.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_053.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_054.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_055.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_056.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_057.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_058.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_059.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_060.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_061.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_062.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_063.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_064.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_065.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_066.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_067.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_068.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_069.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_070.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_071.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_072.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_073.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_074.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_075.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_076.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_077.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_078.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_079.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_080.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_081.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_082.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_083.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_084.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_085.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_086.jpg,frugiperda,1,0
frugiperda/1/0/ct_d0_087.jpg,frugiperda,1,0
